imu0_acc_x,imu0_acc_y,imu0_acc_z,imu0_gyro_x,imu0_gyro_y,imu0_gyro_z,imu0_timestamp,imu1_acc_x,imu1_acc_y,imu1_acc_z,imu1_gyro_x,imu1_gyro_y,imu1_gyro_z,imu1_timestamp
8.3,0.0,1029.3,0.69,-1.37,0.01,2025-01-22T15:55:28.610732,63.96,13.67,-967.77,0.63,-0.08,-0.16,2025-01-22T15:55:28.610732
-6.35,12.7,1017.58,2.84,1.71,0.65,2025-01-22T15:55:30.015093,58.11,16.11,-973.63,0.5,-2.23,-0.92,2025-01-22T15:55:30.015093
-2.93,4.39,1020.02,-1.2,0.45,-2.37,2025-01-22T15:55:31.692107,59.08,11.72,-976.07,-1.03,-1.74,-1.24,2025-01-22T15:55:31.692107
-10.74,14.16,1026.86,2.5,-0.76,1.26,2025-01-22T15:55:33.015375,55.18,17.58,-976.56,0.17,-1.3,-0.76,2025-01-22T15:55:33.015375
-7.32,5.86,1024.9,2.14,-0.26,1.13,2025-01-22T15:55:34.422556,57.62,14.65,-977.05,1.59,0.15,1.05,2025-01-22T15:55:34.422556
-39.06,24.41,1030.27,1.14,0.86,1.98,2025-01-22T15:55:35.846269,44.92,22.95,-985.35,-2.71,0.85,0.02,2025-01-22T15:55:35.846269
-6.84,-3.42,1025.88,2.27,0.1,-0.08,2025-01-22T15:55:37.273543,75.68,35.64,-977.54,0.17,1.25,-1.99,2025-01-22T15:55:37.273543
-0.49,13.18,1018.55,1.63,0.05,-0.63,2025-01-22T15:55:39.261621,59.08,15.62,-981.45,-1.35,0.56,0.59,2025-01-22T15:55:39.261621
5.37,13.18,1014.16,3.69,-1.4,2.61,2025-01-22T15:55:40.866684,65.43,33.2,-979.0,1.13,-0.9,0.6,2025-01-22T15:55:40.866684
-15.62,4.88,1027.34,-0.18,2.16,-0.54,2025-01-22T15:55:42.441541,62.5,23.44,-978.52,0.56,-1.36,3.42,2025-01-22T15:55:42.441541
-13.67,-2.44,1019.53,-1.78,0.69,1.65,2025-01-22T15:55:43.850249,67.38,19.04,-980.47,-0.67,-0.98,1.76,2025-01-22T15:55:43.850249
-10.25,5.37,1025.39,0.54,1.57,-1.02,2025-01-22T15:55:45.508210,69.34,18.07,-987.3,-0.38,2.17,0.33,2025-01-22T15:55:45.508210
-12.21,14.65,1027.83,4.04,-1.15,0.98,2025-01-22T15:55:46.914933,71.78,19.04,-983.4,-2.24,2.25,-2.96,2025-01-22T15:55:46.914933
-410.64,467.77,801.27,140.1,-4.31,-25.69,2025-01-22T15:55:48.566385,15.62,-48.83,-971.68,-10.29,-1.11,-3.45,2025-01-22T15:55:48.566385
692.38,-624.02,-537.11,-156.22,-33.95,250.13,2025-01-22T15:55:49.973765,34.67,-3.91,-1005.37,20.59,-8.0,5.15,2025-01-22T15:55:49.973765
215.82,150.88,961.43,1.29,2.53,-4.44,2025-01-22T15:55:51.406904,67.38,18.55,-977.54,-1.6,4.0,0.33,2025-01-22T15:55:51.406904
-10.74,68.36,1073.73,-4.34,-8.4,-3.9,2025-01-22T15:55:52.834702,57.13,1.95,-982.91,-1.3,-0.79,-3.11,2025-01-22T15:55:52.834702
70.31,12.21,1029.79,0.43,2.27,-7.37,2025-01-22T15:55:54.418812,265.62,885.74,-567.87,-250.14,131.99,9.72,2025-01-22T15:55:54.418812
70.8,14.16,998.54,-0.72,3.71,-2.81,2025-01-22T15:55:55.855702,383.79,336.43,-878.91,2.85,48.76,-54.44,2025-01-22T15:55:55.855702
77.64,30.76,996.09,0.31,1.86,-2.66,2025-01-22T15:55:57.306390,382.32,378.42,801.76,68.49,24.45,85.92,2025-01-22T15:55:57.306390
66.41,19.53,1014.16,4.85,-3.42,2.09,2025-01-22T15:55:58.723174,456.05,-157.23,782.23,62.51,-11.82,164.97,2025-01-22T15:55:58.723174
88.38,9.28,1010.74,-0.11,0.64,1.46,2025-01-22T15:56:00.159285,677.25,-22.95,686.52,5.32,-150.04,-25.26,2025-01-22T15:56:00.159285
29.3,7.81,1025.88,0.03,1.31,-1.4,2025-01-22T15:56:01.591292,369.14,232.42,-871.58,5.42,-3.08,2.06,2025-01-22T15:56:01.591292
10.74,15.14,1019.04,4.09,0.24,1.27,2025-01-22T15:56:03.326869,340.82,143.07,-908.69,0.82,0.51,1.32,2025-01-22T15:56:03.326869
11.72,6.84,1011.72,2.41,0.42,-1.76,2025-01-22T15:56:04.744908,334.47,96.19,-926.76,1.34,2.39,0.55,2025-01-22T15:56:04.744908
11.72,9.28,1020.51,-0.37,4.59,-0.1,2025-01-22T15:56:06.201144,309.57,79.59,-921.88,1.35,-2.81,-0.33,2025-01-22T15:56:06.201144
-1.95,8.3,1015.62,1.82,-1.4,1.11,2025-01-22T15:56:07.627694,294.43,67.87,-938.48,0.0,0.18,3.39,2025-01-22T15:56:07.627694
7.81,10.25,1025.39,0.76,2.68,-2.27,2025-01-22T15:56:09.061695,333.98,55.18,-924.8,3.47,-1.4,2.28,2025-01-22T15:56:09.061695
3.91,16.6,1013.18,-1.27,3.84,-1.83,2025-01-22T15:56:10.683155,303.71,53.22,-927.73,0.37,2.29,0.88,2025-01-22T15:56:10.683155
83.01,29.79,1007.81,5.88,-4.11,-5.03,2025-01-22T15:56:12.129051,478.03,275.88,549.8,33.34,-45.38,61.19,2025-01-22T15:56:12.129051
87.89,19.53,1013.18,3.36,-4.28,-2.18,2025-01-22T15:56:13.537392,245.61,333.01,-586.91,133.43,-250.14,-76.52,2025-01-22T15:56:13.537392
38.09,195.31,935.55,-10.01,30.68,-81.32,2025-01-22T15:56:15.307027,778.32,684.57,-453.61,35.85,85.77,57.45,2025-01-22T15:56:15.307027
59.57,21.48,1020.51,5.21,3.15,7.06,2025-01-22T15:56:16.707258,336.43,1081.54,1263.67,-48.98,92.19,-99.83,2025-01-22T15:56:16.707258
106.93,125.49,972.17,-30.29,10.53,-28.75,2025-01-22T15:56:28.131205,184.08,195.8,-971.68,-8.93,-18.37,35.4,2025-01-22T15:56:28.131205
155.27,17.58,1019.04,-0.8,1.81,3.12,2025-01-22T15:56:29.554055,65.43,143.07,-968.26,-4.43,-1.4,-4.09,2025-01-22T15:56:29.554055
802.73,465.33,916.99,-122.46,-140.15,165.85,2025-01-22T15:56:30.997945,97.66,305.18,-976.56,0.85,-0.88,-4.49,2025-01-22T15:56:30.997945
795.41,-17.09,504.39,250.13,250.13,-250.14,2025-01-22T15:56:32.408537,96.19,249.51,-933.11,2.14,-3.34,-0.98,2025-01-22T15:56:32.408537
357.42,372.07,1614.26,-250.14,-250.14,174.44,2025-01-22T15:56:33.837009,121.09,250.98,-961.43,-3.89,0.36,0.07,2025-01-22T15:56:33.837009
-1755.86,-571.78,659.67,-126.82,-45.95,-250.14,2025-01-22T15:56:35.275658,46.88,281.25,-1000.98,-19.37,6.14,48.5,2025-01-22T15:56:35.275658
192.38,21.48,1000.49,2.79,2.03,-0.18,2025-01-22T15:56:36.713539,-125.0,115.23,-1114.26,8.55,32.63,-9.91,2025-01-22T15:56:36.713539
158.2,46.88,1001.95,-0.25,0.41,-0.29,2025-01-22T15:56:38.125316,252.93,93.26,-956.05,-2.12,-1.98,0.83,2025-01-22T15:56:38.125316
154.3,46.39,1001.95,-1.5,1.63,-0.23,2025-01-22T15:56:40.089973,1329.1,-6.84,499.02,-54.24,-88.78,-71.76,2025-01-22T15:56:40.089973
130.86,31.74,1024.41,2.01,-2.74,0.8,2025-01-22T15:56:41.823814,510.74,923.83,-1176.27,-27.1,250.13,33.33,2025-01-22T15:56:41.823814
121.09,21.97,1001.95,1.93,2.53,1.79,2025-01-22T15:56:43.268392,362.79,300.29,-869.63,5.89,-5.82,2.85,2025-01-22T15:56:43.268392
115.72,18.55,1012.21,1.79,-2.73,0.44,2025-01-22T15:56:44.891938,327.64,203.12,-906.74,2.57,-1.03,3.36,2025-01-22T15:56:44.891938
113.77,7.81,999.51,-1.11,0.53,-2.36,2025-01-22T15:56:46.544811,320.8,161.13,-915.04,-0.64,-0.84,-0.79,2025-01-22T15:56:46.544811
104.49,14.65,992.19,0.31,2.09,0.25,2025-01-22T15:56:47.935246,320.8,142.09,-916.99,0.59,1.4,2.2,2025-01-22T15:56:47.935246
114.75,20.02,1011.23,-1.9,4.53,-4.79,2025-01-22T15:56:49.363311,303.71,104.0,-926.27,-0.63,-2.59,0.35,2025-01-22T15:56:49.363311
119.63,13.67,1006.35,1.4,0.18,3.07,2025-01-22T15:56:51.029468,316.89,107.42,-931.15,-0.57,0.37,0.57,2025-01-22T15:56:51.029468
