imu0_acc_x,imu0_acc_y,imu0_acc_z,imu0_gyro_x,imu0_gyro_y,imu0_gyro_z,imu0_roll,imu0_pitch,imu0_yaw,imu0_timestamp,imu1_acc_x,imu1_acc_y,imu1_acc_z,imu1_gyro_x,imu1_gyro_y,imu1_gyro_z,imu1_roll,imu1_pitch,imu1_yaw,imu1_timestamp
686.52,-117.43,738.28,9.82,-0.79,-1.65,-45.82,-36.73,43.77,2025-02-10T14:52:20.103837,954.1,21.73,326.17,0.85,-1.52,-1.04,-66.61,3.01,20.13,2025-02-10T14:52:20.103837
692.63,-107.91,695.56,11.34,-6.04,-1.46,-45.19,-37.8,44.27,2025-02-10T14:52:20.196126,947.75,43.7,313.96,-1.04,0.18,-1.77,-68.22,2.29,21.01,2025-02-10T14:52:20.196126
698.73,-98.39,721.44,12.01,-1.34,-2.68,-45.22,-38.48,44.9,2025-02-10T14:52:20.288467,949.22,34.67,335.94,-0.73,-0.61,-2.01,-69.02,2.73,21.87,2025-02-10T14:52:20.288467
704.1,-92.04,718.99,0.06,0.61,-0.18,-44.98,-38.22,44.96,2025-02-10T14:52:20.391309,966.55,32.47,302.98,-3.6,-2.2,-2.62,-69.25,3.04,22.48,2025-02-10T14:52:20.391309
706.05,-96.44,585.94,-42.13,-21.59,7.68,-42.01,-17.54,24.9,2025-02-10T14:52:20.477062,958.25,18.07,344.73,-4.88,1.95,-2.5,-69.75,2.96,23.52,2025-02-10T14:52:20.477062
695.07,-186.04,593.99,3.05,16.16,8.11,-44.33,-12.73,20.76,2025-02-10T14:52:20.575715,948.0,48.34,309.33,-3.23,-2.01,-3.54,-69.89,2.73,23.84,2025-02-10T14:52:20.575715
705.57,-169.68,706.3,0.55,0.61,1.22,-45.18,-11.98,20.36,2025-02-10T14:52:20.660533,946.29,54.44,319.58,0.61,2.44,-1.71,-70.19,2.63,23.72,2025-02-10T14:52:20.660533
695.56,-169.19,716.06,0.85,-0.73,0.85,-44.83,-11.13,19.5,2025-02-10T14:52:20.790896,957.76,41.02,331.54,-1.46,1.16,-2.01,-70.32,2.44,23.33,2025-02-10T14:52:20.790896
702.15,-170.41,699.46,1.46,-1.71,0.61,-44.35,-10.21,18.86,2025-02-10T14:52:20.845873,931.4,43.46,347.17,-0.24,0.49,-2.2,-70.49,2.22,22.97,2025-02-10T14:52:20.845873
708.98,-179.2,689.21,0.3,-3.96,0.43,-43.96,-9.44,18.28,2025-02-10T14:52:20.942650,946.78,53.71,318.85,1.59,-0.3,-1.59,-70.69,2.12,22.59,2025-02-10T14:52:20.942650
713.87,-163.82,693.85,1.22,-2.2,0.37,-43.76,-8.08,18.14,2025-02-10T14:52:21.034069,964.6,49.8,353.52,5.18,3.35,-1.22,-70.89,2.03,22.45,2025-02-10T14:52:21.034069
704.59,-171.39,698.73,-0.3,-3.78,0.67,-43.68,-7.22,19.26,2025-02-10T14:52:21.131534,952.64,54.93,368.41,1.4,0.79,-0.24,-71.05,2.02,22.54,2025-02-10T14:52:21.131534
729.0,-177.98,671.63,-1.59,-7.74,2.87,-43.46,-6.51,19.45,2025-02-10T14:52:21.217517,934.33,61.77,330.08,5.18,-0.91,-0.73,-71.22,2.05,22.65,2025-02-10T14:52:21.217517
714.84,-179.2,693.6,-2.62,-10.37,1.04,-43.72,-5.73,18.91,2025-02-10T14:52:21.312282,950.44,90.33,377.93,5.12,-2.93,-1.46,-71.31,2.18,22.87,2025-02-10T14:52:21.312282
754.15,-139.89,595.7,-5.0,-19.88,2.38,-44.18,-4.74,18.25,2025-02-10T14:52:21.422759,920.41,115.97,350.34,3.78,-4.33,-2.32,-71.34,2.24,23.09,2025-02-10T14:52:21.422759
752.44,-275.63,543.7,33.96,-21.71,-8.54,-44.31,-4.46,18.15,2025-02-10T14:52:21.499218,945.07,51.27,286.38,6.77,-11.95,-0.24,-71.37,2.38,23.25,2025-02-10T14:52:21.499218
745.12,-293.21,617.92,10.12,-6.89,-0.24,-45.18,-6.35,19.32,2025-02-10T14:52:21.599262,939.94,47.12,230.71,6.95,-5.55,-0.12,-71.13,2.59,23.4,2025-02-10T14:52:21.599262
754.15,-260.01,602.54,-3.48,-1.22,1.22,-44.83,-8.56,20.47,2025-02-10T14:52:21.681922,952.39,93.02,297.61,1.22,-2.13,-2.99,-70.97,2.78,23.41,2025-02-10T14:52:21.681922
760.25,-258.79,599.12,-0.98,0.61,-2.01,-44.45,-8.87,20.38,2025-02-10T14:52:21.776082,968.51,84.47,273.19,-1.71,0.49,-5.49,-70.77,2.92,23.37,2025-02-10T14:52:21.776082
753.17,-250.73,585.21,-7.38,5.55,-1.34,-44.48,-8.94,20.28,2025-02-10T14:52:21.871932,939.21,118.16,267.82,-0.67,4.21,-2.5,-70.61,3.05,23.36,2025-02-10T14:52:21.871932
