imu0_acc_x,imu0_acc_y,imu0_acc_z,imu0_gyro_x,imu0_gyro_y,imu0_gyro_z,imu0_roll,imu0_pitch,imu0_yaw,imu0_timestamp,imu1_acc_x,imu1_acc_y,imu1_acc_z,imu1_gyro_x,imu1_gyro_y,imu1_gyro_z,imu1_roll,imu1_pitch,imu1_yaw,imu1_timestamp
565.92,253.17,828.37,-26.16,24.88,3.29,-34.86,-4.73,38.67,2025-02-10T14:51:59.339101,905.52,287.11,-444.82,-55.49,10.79,46.16,-91.68,9.32,15.68,2025-02-10T14:51:59.339101
634.28,-490.72,929.2,-28.41,11.83,-48.23,-34.41,-4.05,39.47,2025-02-10T14:51:59.443902,909.18,196.29,-104.0,-28.84,-26.59,-4.94,-93.09,9.97,14.59,2025-02-10T14:51:59.443902
556.4,-20.26,861.82,9.09,-1.71,-10.0,-34.26,-3.57,39.86,2025-02-10T14:51:59.523290,815.92,433.35,-121.09,-5.91,13.6,17.8,-94.94,10.86,14.55,2025-02-10T14:51:59.523290
550.05,-39.06,844.24,-11.89,-3.72,9.51,-34.24,-2.95,40.3,2025-02-10T14:51:59.621677,735.11,114.01,-32.71,-9.94,25.79,44.39,-97.05,11.13,14.17,2025-02-10T14:51:59.621677
549.8,-70.56,848.39,-13.96,-4.7,8.54,-34.34,-2.42,40.83,2025-02-10T14:51:59.719119,1067.38,44.43,-335.45,-11.65,-10.67,31.16,-100.12,10.54,13.55,2025-02-10T14:51:59.719119
537.11,-95.21,825.44,-2.99,-0.43,2.26,-34.46,-1.94,41.48,2025-02-10T14:51:59.810048,859.13,-129.39,-398.19,-16.34,0.18,11.59,-102.19,10.13,13.27,2025-02-10T14:51:59.810048
569.09,-53.22,838.38,6.28,-0.55,-5.43,-34.66,-1.74,41.67,2025-02-10T14:51:59.920737,922.85,-10.74,-320.31,-13.54,-12.74,-6.34,-104.0,9.34,13.14,2025-02-10T14:51:59.920737
549.32,-50.29,846.68,-0.73,-0.73,0.55,-34.87,-1.69,41.57,2025-02-10T14:51:59.988833,941.89,43.95,-363.28,4.45,5.91,1.77,-106.05,8.68,13.3,2025-02-10T14:51:59.988833
544.92,-93.26,834.47,-0.61,1.59,1.52,-35.08,-1.44,41.57,2025-02-10T14:52:00.096003,943.6,-44.19,-356.45,-8.9,0.3,-7.87,-108.08,8.58,13.74,2025-02-10T14:52:00.096003
540.04,-72.02,843.51,5.61,-1.16,-4.39,-35.49,-0.94,41.95,2025-02-10T14:52:00.177998,929.69,76.17,-321.78,-8.96,-10.67,-6.77,-109.48,8.81,15.38,2025-02-10T14:52:00.177998
556.64,-60.55,842.77,6.34,-0.79,-10.06,-35.65,-0.73,42.41,2025-02-10T14:52:00.279182,916.26,66.65,-343.99,-7.07,-13.11,-4.57,-109.84,9.43,17.8,2025-02-10T14:52:00.279182
553.22,-44.43,839.6,3.48,0.0,-8.29,-35.11,-0.92,43.0,2025-02-10T14:52:00.361491,929.2,82.52,-392.09,-1.4,-11.89,-0.85,-108.93,10.35,22.2,2025-02-10T14:52:00.361491
