imu0_acc_x,imu0_acc_y,imu0_acc_z,imu0_gyro_x,imu0_gyro_y,imu0_gyro_z,imu0_roll,imu0_pitch,imu0_yaw,imu0_timestamp,imu1_acc_x,imu1_acc_y,imu1_acc_z,imu1_gyro_x,imu1_gyro_y,imu1_gyro_z,imu1_roll,imu1_pitch,imu1_yaw,imu1_timestamp
419.68,-255.62,944.34,-12.2,49.94,24.76,-37.45,-11.02,39.55,2025-02-10T14:50:43.205383,977.05,150.88,331.79,-15.3,67.44,4.57,-81.88,3.17,15.83,2025-02-10T14:50:43.205383
396.97,-213.87,857.67,-22.87,57.26,16.89,-37.43,-11.01,39.54,2025-02-10T14:50:43.300625,919.92,135.5,321.78,-20.0,67.2,11.16,-81.89,3.24,15.85,2025-02-10T14:50:43.300625
452.64,-192.14,757.57,-27.5,43.78,4.33,-37.39,-10.98,39.52,2025-02-10T14:50:43.396680,876.95,153.08,244.14,-32.74,42.13,8.9,-81.86,3.38,15.86,2025-02-10T14:50:43.396680
562.5,-196.53,625.49,-7.62,-1.4,-0.37,-37.36,-10.96,39.51,2025-02-10T14:50:43.495950,884.28,127.2,135.74,-15.43,-5.06,5.67,-81.81,3.54,15.92,2025-02-10T14:50:43.495950
296.39,-325.93,907.96,20.49,-95.3,18.48,-37.32,-10.9,39.51,2025-02-10T14:50:43.587619,1063.96,85.21,622.56,57.8,-41.71,1.52,-81.83,3.73,15.97,2025-02-10T14:50:43.587619
687.99,-293.7,872.56,11.59,-64.57,-31.34,-37.31,-10.85,39.54,2025-02-10T14:50:43.681088,964.6,138.92,219.48,-23.54,-82.2,4.76,-82.17,3.91,15.95,2025-02-10T14:50:43.681088
639.16,-193.6,897.46,22.38,-14.88,-19.63,-37.28,-10.9,39.58,2025-02-10T14:50:43.788068,953.12,141.11,241.46,20.61,-40.0,18.23,-82.46,4.23,15.81,2025-02-10T14:50:43.788068
602.54,-157.96,822.02,7.62,-8.78,-10.0,-37.24,-10.93,39.58,2025-02-10T14:50:43.867929,1024.17,31.74,100.59,3.41,-39.88,13.78,-82.12,5.01,15.68,2025-02-10T14:50:43.867929
591.8,-159.67,809.08,0.24,-8.48,-3.23,-37.09,-11.5,40.01,2025-02-10T14:50:43.964745,975.59,18.07,88.38,-2.74,-40.06,7.2,-81.41,7.0,15.49,2025-02-10T14:50:43.964745
615.97,-150.39,779.3,5.0,-2.62,-6.65,-37.37,-11.6,40.42,2025-02-10T14:50:44.048083,1010.74,-1.46,-30.52,-7.32,-41.22,1.4,-83.91,8.99,15.23,2025-02-10T14:50:44.048083
601.32,-165.53,795.65,6.65,1.22,-7.5,-37.84,-9.56,38.61,2025-02-10T14:50:44.141923,1007.57,-8.79,-66.89,-11.89,-36.95,-2.93,-85.09,10.18,11.72,2025-02-10T14:50:44.141923
591.55,-151.12,812.99,6.1,-8.54,-12.68,-32.98,-10.15,36.49,2025-02-10T14:50:44.250162,1027.59,7.08,-34.67,-14.7,-43.35,-7.5,-80.28,10.24,11.52,2025-02-10T14:50:44.250162
632.57,-138.43,807.13,0.3,-49.63,-9.82,-28.06,-12.25,35.22,2025-02-10T14:50:44.335305,1037.84,49.8,-143.55,-27.2,-77.5,-22.26,-74.12,9.59,12.65,2025-02-10T14:50:44.335305
664.31,-110.84,842.77,-4.45,-122.62,-33.35,-22.17,-15.32,34.45,2025-02-10T14:50:44.449693,1160.89,166.75,23.19,-32.62,-58.11,-43.84,-67.05,7.84,14.27,2025-02-10T14:50:44.449693
