time,ankle_angle_l_moment,ankle_angle_r_moment,ground_force_right_vx,ground_force_right_vy,ground_force_right_vz,ground_force_right_px,ground_force_right_py,ground_force_right_pz,ground_torque_right_x,ground_torque_right_y,ground_torque_right_z,ground_force_left_vx,ground_force_left_vy,ground_force_left_vz,ground_force_left_px,ground_force_left_py,ground_force_left_pz,ground_torque_left_x,ground_torque_left_y,ground_torque_left_z,imu0_acc_x,imu0_acc_y,imu0_acc_z,imu0_gyro_x,imu0_gyro_y,imu0_gyro_z,imu0_roll,imu0_pitch,imu0_yaw,imu1_acc_x,imu1_acc_y,imu1_acc_z,imu1_gyro_x,imu1_gyro_y,imu1_gyro_z,imu1_roll,imu1_pitch,imu1_yaw
0.3,0.81038464,-56.10672523,-40.68475517,690.8991154,-25.44069443,0.84252408,0.0,-0.20001438,0.0,7.48257142,0.0,0.40923574,0.45181873,0.28885416,0.75922971,0.0,-0.41282434,0.0,-0.00011972,0.0,-538.7138237605955,297.1971863536369,1114.3691955770114,34.9886012996527,127.35018289487141,-27.419817629178628,0.0,0.0,0.0,-1140.0605570694931,-239.52015092758444,52.471437480362994,13.120760140447443,77.45001545959346,-15.019857981344465,0.0,0.0,0.0
0.31,1.01339143,-32.71690563,-40.19956916,432.7578215,-25.62977555,0.8392744,0.0,-0.19240351,0.0,7.17869452,0.0,4.28852152,4.38991257,1.89910247,0.75143295,0.0,-0.41372834,0.0,-0.00105255,0.0,-581.5107003982664,283.9543396918608,1043.103080913975,38.63077717220291,135.86606173356796,-29.24352583586564,0.0,0.0,0.0,-1131.0415863117107,-217.32121999791147,13.958702966159407,10.69176946861,82.46783329839465,-12.991768682528736,0.0,0.0,0.0
0.32,2.03004012,-28.67187728,-36.3252388,384.0687242,-29.31261719,0.83894138,0.0,-0.18681134,0.0,7.21172975,0.0,20.37591002,20.37840605,4.52370346,0.7435268,0.0,-0.4156531,0.0,-0.00711713,0.0,-624.3075770359374,270.7114930300847,971.8369662509385,42.27295304475312,144.38194057226448,-31.06723404255265,0.0,0.0,0.0,-1122.022615553928,-195.12228906823853,-24.554031548044193,8.262778796772556,87.48565113719584,-10.963679383713007,0.0,0.0,0.0
0.33,5.05920064,-33.29663821,-32.49051293,414.1472375,-50.43637377,0.83748758,0.0,-0.18471616,0.0,7.71735318,0.0,101.22351269,104.85148512,-2.01149772,0.73657679,0.0,-0.41712833,0.0,-0.03032467,0.0,-667.1044536736082,257.4686463683086,900.5708515879021,45.915128917303335,152.89781941096103,-32.89094224923966,0.0,0.0,0.0,-1113.0036447961454,-172.92335813856556,-63.066766062247794,5.833788124935113,92.50346897599704,-8.935590084897278,0.0,0.0,0.0
0.34,6.00966502,-36.19039411,-36.71707588,456.16203623,-44.89528346,0.83380629,0.0,-0.18244351,0.0,8.98979604,0.0,22.37080493,244.41557709,-58.79372955,0.72669763,0.0,-0.41971316,0.0,-0.33821363,0.0,-709.9013303112791,244.2257997065325,829.3047369248657,49.557304789853546,161.41369824965756,-34.71465045592667,0.0,0.0,0.0,-1103.9846740383628,-150.72442720889262,-101.5795005764514,3.40479745309767,97.52128681479823,-6.907500786081549,0.0,0.0,0.0
0.35,12.73474838,-39.72140404,-24.43382768,489.33177399,-45.58256028,0.83019193,0.0,-0.18108375,0.0,9.87539983,0.0,10.04006443,405.75441144,-27.68002385,0.71796609,0.0,-0.42436887,0.0,0.62254534,0.0,-752.6982069489499,230.98295304475647,758.0386222618296,53.199480662403744,169.92957708835405,-36.538358662613675,0.0,0.0,0.0,-1094.96570328058,-128.5254962792198,-140.09223509065478,0.97580678126024,102.5391046535994,-4.879411487265831,0.0,0.0,0.0
0.36,15.12315209,-40.92283728,-17.26463471,496.35148528,-48.06129373,0.82643396,0.0,-0.17893866,0.0,9.12559099,0.0,-10.23834524,527.71183129,-13.32384016,0.7102711,0.0,-0.42846921,0.0,3.4953613,0.0,-795.4950835866208,217.74010638298037,686.7725075987931,56.841656534953955,178.4454559270506,-38.36206686930068,0.0,0.0,0.0,-1085.9467325227974,-106.32656534954685,-178.60496960485838,-1.4531838905772032,107.55692249240059,-2.8513221884501023,0.0,0.0,0.0
0.37,16.25923852,-49.48239531,-2.68273335,538.84282854,-51.35189705,0.82050832,0.0,-0.18745796,0.0,12.89286289,0.0,8.19968996,566.01687068,5.12179357,0.70467449,0.0,-0.42981311,0.0,5.0408191,0.0,-838.2919602242916,204.49725972120427,615.5063929357567,60.48383240750417,186.96133476574713,-40.18577507598769,0.0,0.0,0.0,-1076.9277617650148,-84.1276344198739,-217.11770411906198,-3.8821745624146455,112.57474033120178,-0.8232328896343732,0.0,0.0,0.0
0.38,14.69273603,-61.35569422,28.63413768,587.58568215,-46.43380585,0.81272292,0.0,-0.20092521,0.0,19.22549628,0.0,8.65928049,523.67302502,1.684875,0.69972798,0.0,-0.42956846,0.0,5.43161807,0.0,-888.2571404343754,255.76831035614123,690.3272610646001,53.8135814322454,180.05879588599035,-38.39977268997233,,,,-1083.70539553586,-52.63384019913759,-286.5538136659507,-9.064348979703112,112.90396575305012,-0.2503684556047643,,,
0.39,12.59995716,-71.88932204,37.05079862,628.26265453,-39.85442476,0.8069514,0.0,-0.21192913,0.0,22.61537644,0.0,14.49666011,437.43428474,-4.12788185,0.69534241,0.0,-0.42791845,0.0,4.21102499,0.0,-943.7525176431951,356.8104899064465,877.851195634328,39.187507795831785,161.26126866896502,-33.828953717380756,,,,-1102.6697808961096,-13.96925242081209,-379.84666338420817,-16.370547349417112,109.61603971770896,-0.800179714426372,,,
