imu0_acc_x,imu0_acc_y,imu0_acc_z,imu0_gyro_x,imu0_gyro_y,imu0_gyro_z,imu0_roll,imu0_pitch,imu0_yaw,imu0_timestamp,imu1_acc_x,imu1_acc_y,imu1_acc_z,imu1_gyro_x,imu1_gyro_y,imu1_gyro_z,imu1_roll,imu1_pitch,imu1_yaw,imu1_timestamp
-432.37,156.49,872.8,9.63,-18.6,-21.65,0.0,0.0,0.0,2025-02-16T18:23:22.624871,-915.28,-223.14,66.65,22.26,-6.52,-12.68,0.0,0.0,0.0,2025-02-16T18:23:22.624871
-459.23,143.07,910.4,10.79,-36.65,-9.02,nan,nan,nan,2025-02-16T18:23:22.662451,-943.6,-239.01,69.82,23.17,-33.84,-4.51,0.0,0.0,0.0,2025-02-16T18:23:22.662451
-493.65,142.09,878.42,11.77,-46.46,0.73,0.0,0.0,0.0,2025-02-16T18:23:22.698743,-968.02,-239.01,37.6,20.18,-48.23,0.55,nan,nan,nan,2025-02-16T18:23:22.698743
-517.58,170.41,878.66,15.0,-52.68,11.04,nan,nan,nan,2025-02-16T18:23:22.738090,-970.46,-234.86,33.69,17.01,-61.28,7.87,nan,nan,nan,2025-02-16T18:23:22.738090
-625.49,138.92,887.7,18.6,-54.21,18.29,0.0,0.0,0.0,2025-02-16T18:23:22.770189,-1008.06,-225.1,28.32,15.91,-71.04,13.23,0.0,0.0,0.0,2025-02-16T18:23:22.770189
-600.34,130.13,837.4,16.71,-53.54,21.65,0.0,0.0,0.0,2025-02-16T18:23:22.806679,-1056.64,-234.86,13.67,11.83,-73.48,16.83,0.0,0.0,0.0,2025-02-16T18:23:22.806679
-648.68,161.13,885.74,24.02,-41.22,21.04,0.0,0.0,0.0,2025-02-16T18:23:22.844124,-1040.53,-253.42,22.22,15.85,-73.54,23.29,0.0,0.0,0.0,2025-02-16T18:23:22.844124
-690.19,80.08,884.77,29.45,-43.66,23.6,0.0,0.0,0.0,2025-02-16T18:23:22.889523,-1037.84,-279.05,16.11,16.16,-74.51,27.13,0.0,0.0,0.0,2025-02-16T18:23:22.889523
-596.92,21.73,762.21,24.76,-40.79,19.33,0.0,0.0,0.0,2025-02-16T18:23:22.916840,-998.78,-294.43,57.37,19.09,-71.65,27.68,0.0,0.0,0.0,2025-02-16T18:23:22.916840
-831.54,-148.19,839.11,35.98,-10.49,5.37,0.0,0.0,0.0,2025-02-16T18:23:22.951611,-1067.87,-305.66,-46.14,26.83,-58.29,25.91,0.0,0.0,0.0,2025-02-16T18:23:22.951611
