imu0_acc_x,imu0_acc_y,imu0_acc_z,imu0_gyro_x,imu0_gyro_y,imu0_gyro_z,imu0_roll,imu0_pitch,imu0_yaw,imu0_timestamp,imu1_acc_x,imu1_acc_y,imu1_acc_z,imu1_gyro_x,imu1_gyro_y,imu1_gyro_z,imu1_roll,imu1_pitch,imu1_yaw,imu1_timestamp
-328.12,599.37,1063.48,-4.76,-3.6,-0.37,22.81,15.29,163.52,2025-02-24T15:12:39.525009,-131.1,-289.31,909.67,60.18,12.62,16.4,-38.81,-39.54,-167.1,2025-02-24T15:12:39.525009
-395.75,259.28,864.01,-8.72,3.35,-4.76,22.94,15.88,164.11,2025-02-24T15:12:39.557329,-238.77,-290.28,1052.73,27.8,17.99,28.11,-37.34,-39.74,-172.93,2025-02-24T15:12:39.557329
-364.01,180.91,795.17,-10.3,3.05,-4.7,23.0,16.54,164.78,2025-02-24T15:12:39.604046,-366.21,-1098.63,1010.5,94.02,-77.8,-153.6,-40.5,-40.11,-176.75,2025-02-24T15:12:39.604046
-393.31,290.28,966.8,-3.96,1.46,-3.66,23.15,16.42,164.88,2025-02-24T15:12:39.637459,107.67,-57.37,1113.53,282.5,-46.1,0.55,-39.67,-40.82,-178.09,2025-02-24T15:12:39.637459
-330.32,415.28,788.82,-5.37,-2.01,5.61,23.13,16.3,164.84,2025-02-24T15:12:39.683338,-7.08,-226.32,864.01,73.17,78.78,-11.52,-37.92,-40.95,179.48,2025-02-24T15:12:39.683338
-388.18,255.13,874.76,6.28,1.95,2.44,22.93,16.73,164.9,2025-02-24T15:12:39.707576,65.19,-55.91,958.5,-15.91,115.67,14.39,-33.89,-39.06,175.39,2025-02-24T15:12:39.707576
-268.8,299.32,496.58,-2.8,3.78,-8.6,22.78,17.1,164.96,2025-02-24T15:12:39.746994,-257.32,-60.06,1028.08,45.24,16.77,73.05,-30.2,-36.67,172.65,2025-02-24T15:12:39.746994
-433.59,253.66,973.39,3.23,2.87,1.34,22.7,17.26,164.91,2025-02-24T15:12:39.784352,-178.96,-26.61,894.04,18.84,118.48,73.84,-24.84,-33.23,168.91,2025-02-24T15:12:39.784352
-400.88,239.01,910.16,1.59,5.18,-2.38,22.74,17.32,164.97,2025-02-24T15:12:39.822147,-81.79,-114.75,972.17,-16.34,52.8,44.02,-22.35,-29.53,167.78,2025-02-24T15:12:39.822147
-397.71,283.2,900.39,0.3,3.96,-0.98,22.69,17.87,165.17,2025-02-24T15:12:39.862522,-92.77,-156.25,968.02,3.96,130.55,9.27,-21.39,-26.58,167.97,2025-02-24T15:12:39.862522
-405.52,249.27,903.08,-0.61,-0.06,-0.43,22.82,18.3,165.41,2025-02-24T15:12:39.899256,-188.96,-106.69,1088.87,-13.17,118.96,-40.0,-20.34,-23.29,167.95,2025-02-24T15:12:39.899256
-403.32,250.24,890.14,-0.67,0.06,-0.49,22.65,18.64,165.46,2025-02-24T15:12:39.936898,-363.53,-166.02,935.55,-34.57,82.62,-110.43,-19.09,-18.6,167.95,2025-02-24T15:12:39.936898
-407.71,250.49,895.02,-0.37,-0.12,0.0,22.73,18.52,165.47,2025-02-24T15:12:39.986395,-617.19,-51.51,812.26,-86.83,168.05,17.32,-17.86,-14.93,167.88,2025-02-24T15:12:39.986395
-406.49,253.17,893.31,-0.24,0.12,-0.24,22.77,18.46,165.33,2025-02-24T15:12:40.015708,-459.23,-202.88,863.04,-98.23,181.28,77.62,-17.23,-12.26,168.87,2025-02-24T15:12:40.015708
-411.13,243.65,911.87,0.24,0.0,0.0,22.71,17.2,164.54,2025-02-24T15:12:40.054077,-692.63,-215.33,870.12,10.67,99.88,38.05,-16.9,-11.93,169.16,2025-02-24T15:12:40.054077
-394.78,247.31,903.08,0.18,-0.12,-0.37,22.69,16.97,164.23,2025-02-24T15:12:40.091102,-649.41,-189.94,809.33,5.79,-3.41,45.98,-16.77,-12.22,169.66,2025-02-24T15:12:40.091102
-406.25,255.86,905.27,-0.06,0.37,-0.12,22.7,17.26,164.2,2025-02-24T15:12:40.131498,-551.03,-183.35,749.02,-0.06,-10.79,43.78,-15.55,-13.21,169.99,2025-02-24T15:12:40.131498
-408.45,249.51,886.47,0.0,0.18,-0.24,22.69,17.17,164.2,2025-02-24T15:12:40.168598,-606.93,-152.83,806.4,-9.57,53.05,43.35,-13.56,-14.28,169.86,2025-02-24T15:12:40.168598
-403.32,254.64,903.56,-0.12,-0.24,0.24,22.66,17.1,164.15,2025-02-24T15:12:40.215178,-582.03,-113.04,769.04,-17.8,94.88,43.9,-12.25,-16.2,169.34,2025-02-24T15:12:40.215178
-401.37,248.54,892.09,0.06,0.12,-0.12,22.58,16.94,164.1,2025-02-24T15:12:40.278401,-813.23,-30.03,691.41,-33.11,79.94,10.67,-11.82,-17.61,168.8,2025-02-24T15:12:40.278401
-409.91,247.8,896.24,-0.06,0.67,0.0,22.51,16.9,164.06,2025-02-24T15:12:40.289189,-647.22,-152.83,761.96,-55.73,35.91,-41.89,-11.63,-19.0,168.3,2025-02-24T15:12:40.289189
-410.4,257.08,889.4,0.06,0.67,-0.24,22.36,16.78,163.97,2025-02-24T15:12:40.324467,-795.41,-193.12,613.53,-3.84,55.37,-15.79,-11.2,-21.66,167.37,2025-02-24T15:12:40.324467
-396.97,257.81,909.67,0.55,1.1,-0.3,22.26,16.62,163.93,2025-02-24T15:12:40.360731,-652.34,-248.29,658.69,-21.28,42.8,-4.94,-10.32,-25.71,166.76,2025-02-24T15:12:40.360731
-406.74,256.1,902.1,0.49,0.98,-0.18,22.17,16.5,163.93,2025-02-24T15:12:40.405862,-515.87,-119.14,769.04,11.1,27.44,20.85,-10.49,-26.87,166.61,2025-02-24T15:12:40.405862
-409.67,254.64,895.02,0.18,0.24,-0.49,22.02,16.52,163.88,2025-02-24T15:12:40.437230,-687.5,-85.94,726.07,1.46,40.37,45.0,-9.66,-26.62,166.08,2025-02-24T15:12:40.437230
-409.91,259.03,900.15,0.0,0.55,-0.24,21.67,16.62,163.8,2025-02-24T15:12:40.477735,-782.71,-79.59,626.95,21.28,73.78,45.85,-7.41,-24.22,164.44,2025-02-24T15:12:40.477735
-400.88,250.49,883.06,-0.12,0.43,-0.37,21.45,16.78,163.75,2025-02-24T15:12:40.524320,-442.38,-770.02,573.0,896.89,400.06,-62.13,-5.36,-23.08,163.29,2025-02-24T15:12:40.524320
-406.98,247.56,888.92,-0.85,-0.12,0.06,21.5,16.84,163.77,2025-02-24T15:12:40.577550,-1023.68,-19.53,331.54,26.4,105.85,16.71,-3.7,-19.59,163.03,2025-02-24T15:12:40.577550
-405.27,256.1,900.88,-0.18,0.12,-0.24,21.47,16.71,163.68,2025-02-24T15:12:40.590922,-899.41,-90.09,403.32,50.91,147.99,-4.51,-3.55,-18.11,162.73,2025-02-24T15:12:40.590922
-397.71,247.56,904.05,-0.3,-0.24,0.06,21.32,16.57,163.74,2025-02-24T15:12:40.632857,-358.64,-679.69,217.77,206.46,177.26,-52.38,-2.88,-16.39,161.93,2025-02-24T15:12:40.632857
-411.87,257.08,896.0,-0.43,-1.04,0.0,21.45,16.15,163.76,2025-02-24T15:12:40.676340,-1067.87,65.19,242.92,22.26,58.05,16.34,-1.97,-14.87,160.86,2025-02-24T15:12:40.676340
-404.54,252.44,900.15,-0.18,0.12,-0.18,21.66,15.82,163.83,2025-02-24T15:12:40.702744,-727.78,344.97,1394.29,-109.21,112.38,14.63,-3.97,-12.5,163.01,2025-02-24T15:12:40.702744
-407.71,254.64,891.85,-0.49,-0.43,0.0,21.68,15.59,163.85,2025-02-24T15:12:40.744753,-976.32,-58.35,240.72,-174.94,7.07,-23.05,-16.2,-9.99,-179.54,2025-02-24T15:12:40.744753
-412.84,250.0,893.31,-0.61,-0.18,0.0,21.55,15.56,163.66,2025-02-24T15:12:40.783401,-989.75,-51.27,101.32,-28.29,13.11,-2.44,-13.36,-6.87,179.43,2025-02-24T15:12:40.783401
-405.52,251.95,894.78,-0.55,-0.06,-0.24,21.69,15.62,163.73,2025-02-24T15:12:40.830582,-951.9,-78.61,58.35,1.52,10.85,0.43,-8.29,-8.45,178.08,2025-02-24T15:12:40.830582
-401.12,250.49,901.12,0.0,0.18,-0.18,21.62,15.42,163.71,2025-02-24T15:12:40.893129,-966.06,-90.09,137.45,-6.89,-0.43,-7.87,-6.2,-8.53,175.56,2025-02-24T15:12:40.893129
-409.67,248.54,895.51,-0.3,0.12,-0.49,21.79,15.58,163.71,2025-02-24T15:12:40.895982,-1026.86,-78.12,142.33,-12.62,3.35,-0.67,-3.09,-7.55,172.98,2025-02-24T15:12:40.895982
-408.94,249.51,898.44,-0.18,0.24,-0.37,22.16,15.61,163.87,2025-02-24T15:12:40.934325,-1024.66,21.48,91.31,-10.73,1.95,0.06,-0.56,-7.57,171.36,2025-02-24T15:12:40.934325
-409.42,246.83,891.36,-0.37,0.0,-0.24,22.26,15.62,163.89,2025-02-24T15:12:40.971293,-928.96,-200.2,148.19,-18.11,-0.37,-3.35,3.23,-7.81,170.5,2025-02-24T15:12:40.971293
-410.16,246.34,895.75,-0.3,-0.43,-0.24,22.27,15.58,163.9,2025-02-24T15:12:41.009200,-1010.5,-1.46,175.54,-0.24,7.38,4.33,7.5,-8.25,171.6,2025-02-24T15:12:41.009200
-420.41,245.36,885.74,-0.85,0.37,-0.55,22.29,15.55,163.9,2025-02-24T15:12:41.050290,-1020.75,-24.41,90.58,-7.32,-8.9,-4.51,9.63,-9.61,176.31,2025-02-24T15:12:41.050290
-414.55,249.27,894.29,-0.37,-0.12,-0.06,22.3,15.52,163.9,2025-02-24T15:12:41.087704,-1017.58,-26.61,128.42,-23.29,-0.79,-3.96,14.28,-12.01,176.5,2025-02-24T15:12:41.087704
-419.43,252.93,900.15,0.18,0.0,-0.24,22.32,15.51,163.91,2025-02-24T15:12:41.125610,-956.79,-51.76,125.98,-20.37,2.2,-7.13,21.6,-14.55,172.83,2025-02-24T15:12:41.125610
-409.18,250.98,899.66,-0.37,-0.06,-0.12,22.33,15.47,163.92,2025-02-24T15:12:41.189883,-1002.93,-65.92,170.65,-12.13,-2.74,-3.84,26.11,-13.74,171.5,2025-02-24T15:12:41.189883
-406.01,243.9,893.31,-0.49,-0.06,-0.18,22.35,15.46,163.93,2025-02-24T15:12:41.203092,-919.92,-55.42,221.68,-6.95,6.52,-9.33,26.51,-12.73,170.24,2025-02-24T15:12:41.203092
-408.2,238.77,899.17,-0.61,-0.18,-0.24,22.38,15.45,163.94,2025-02-24T15:12:41.244371,-997.07,-138.92,137.7,-24.33,20.49,-3.96,27.1,-11.32,168.05,2025-02-24T15:12:41.244371
-404.79,241.7,900.88,-0.06,0.18,-0.43,22.39,15.43,163.94,2025-02-24T15:12:41.282383,-1013.92,-91.8,197.27,-2.07,2.68,6.22,29.56,-11.09,166.27,2025-02-24T15:12:41.282383
-407.96,246.83,896.73,0.12,0.43,-0.55,22.4,15.42,163.94,2025-02-24T15:12:41.320206,-1049.8,-99.85,42.97,-6.22,-10.06,-4.45,33.24,-11.07,164.32,2025-02-24T15:12:41.320206
-403.08,253.42,895.51,0.0,0.18,-0.12,22.42,15.41,163.95,2025-02-24T15:12:41.360126,-977.29,-151.37,84.96,3.54,-6.22,2.56,36.87,-11.6,163.33,2025-02-24T15:12:41.360126
-408.45,251.71,902.59,0.37,0.0,-0.12,22.43,15.39,163.94,2025-02-24T15:12:41.398382,-979.98,-156.49,128.66,-9.51,-17.93,6.4,37.38,-12.98,164.31,2025-02-24T15:12:41.398382
