time,ankle_angle_r,ankle_angle_l
0.0,-3.87598818,4.87684191
0.0166667,3.51030972,4.12857122
0.0333333,0.59848305,5.33553699
0.05,-4.9473449,6.75476431
0.0666667,-11.50311855,8.23170475
0.0833333,-17.60289814,9.53231064
0.1,-23.25906963,10.09026485
0.1166667,-27.52817505,10.7286154
0.1333333,-31.01641195,10.68308973
0.15,-33.39744424,9.8619585
0.1666667,-34.37438658,8.39298974
0.1833333,-34.1108237,6.40644827
0.2,-33.17145525,3.95819497
0.2166667,-30.36861636,1.98219588
0.2333333,-26.28643981,-0.26943074
0.25,-21.9539449,-2.04640917
0.2666667,-18.04171287,-3.8106881
0.2833333,-14.79286056,-5.05806427
0.3,-14.23670241,-5.00408303
0.3166667,-15.5866283,-2.95437964
0.3333333,-18.10427669,-1.08847713
0.35,-21.94893057,-0.04004599
0.3666667,-25.96803835,-0.38061087
0.3833333,-28.40569758,-1.38739676
0.4,-29.41014607,-1.76408704
0.4166667,-30.01453749,-0.00804055
0.4333333,-29.3169247,4.62767729
0.45,-29.25680186,9.7019989
0.4666667,-31.92544989,11.88000549
0.4833333,-37.00726624,11.03873988
0.5,-41.14503351,6.3879466
0.5166667,-42.1476835,0.03536932
0.5333333,-39.07192863,-2.47809172
0.55,-32.82729258,-1.72969874
0.5666667,-24.75139082,-1.65710104
0.5833333,-16.41446376,-0.09538979
0.6,-10.54704206,2.21880705
0.6166667,-8.63227004,1.77378319
0.6333333,-8.74615022,-2.99271128
0.65,-9.22727088,-10.10396895
0.6666667,-9.09316172,-11.60182343
0.6833333,-8.33853868,-9.63928848
0.7,-7.57016577,-10.08280564
0.7166667,-6.90589867,-12.66250666
0.7333333,-6.35895976,-15.76591014
0.75,-5.73678446,-17.97031607
0.7666667,-5.07787972,-19.27561201
0.7833333,-4.85098525,-20.11038204
0.8,-5.10152649,-20.48062365
0.8166667,-5.4948986,-20.33850408
0.8333333,-5.93215457,-19.78166953
0.85,-6.47972518,-19.16116229
0.8666667,-7.360156,-18.84492178
0.8833333,-8.92391796,-19.13571538
0.9,-10.69124396,-19.74553152
0.9166667,-12.3040141,-20.28955405
0.9333333,-14.297608,-20.66293035
0.95,-16.61174999,-20.43511747
0.9666667,-18.84085367,-19.34007221
0.9833333,-20.36216649,-18.64509239
1.0,-20.9853603,-18.07590448
1.0166667,-20.57960392,-17.3189848
1.0333333,-19.40676241,-17.05922137
1.05,-17.42236351,-16.07409052
1.0666667,-15.1853867,-14.64401377
1.0833333,-2.84476264,-12.10461727
1.1,6.43250012,-9.56076077
1.1166667,-1.54459322,-7.48466341
1.1333333,-10.03700969,-5.78957939
1.15,-13.83200067,-3.90790002
1.1666667,-13.80500291,-2.50659472
1.1833333,-9.88117408,-1.29438326
1.2,-2.25810769,0.23740623
1.2166667,5.71520473,2.14364888
1.2333333,11.21336925,3.29185933
1.25,13.9676169,3.48577117
1.2666667,15.04800978,3.54816154
1.2833333,15.61908513,4.1034038
1.3,15.06140369,4.77465252
1.3166667,12.77693811,5.04741352
1.3333333,6.87803778,4.67372921
1.35,-2.64788661,3.79618854
1.3666667,-11.5454957,3.71751158
1.3833333,-18.85204358,4.42664594
1.4,-24.00953065,5.51298615
1.4166667,-29.0711754,5.67390066
1.4333333,-31.9079303,5.05793033
1.45,-34.71093261,3.08709718
1.4666667,-36.23765374,1.43173889
1.4833333,-36.56969513,-0.2075712
1.5,-35.91998699,-2.12940775
1.5166667,-34.41216813,-3.92794182
1.5333333,-31.69829033,-5.91863187
1.55,-28.95621326,-7.08711504
1.5666667,-25.89927015,-7.94501595
1.5833333,-23.52683498,-8.29073598
1.6,-21.56823714,-7.87773928
1.6166667,-21.21231396,-5.96308981
1.6333333,-21.54800946,-3.09963521
1.65,-22.39405456,-1.53139793
1.6666667,-23.24743424,-0.63610463
1.6833333,-23.95153068,0.04090759
1.7,-24.73302964,1.17782669
1.7166667,-26.18772521,2.70269935
1.7333333,-27.25460375,5.85160552
1.75,-27.46365189,8.86913581
1.7666667,-28.78120564,11.17485731
1.7833333,-31.86663619,11.52506713
1.8,-35.82536034,9.0783698
1.8166667,-38.79163298,3.9408485
1.8333333,-38.78851823,-0.62849092
1.85,-36.08034562,-2.16504714
