imu0_acc_x,imu0_acc_y,imu0_acc_z,imu0_gyro_x,imu0_gyro_y,imu0_gyro_z,imu0_timestamp,imu1_acc_x,imu1_acc_y,imu1_acc_z,imu1_gyro_x,imu1_gyro_y,imu1_gyro_z,imu1_timestamp
-392.09,-44.92,637.21,78.98,-218.76,-45.73,2025-01-22T17:34:27.586887,-120.12,-15.62,418.46,-34.65,148.7,-20.24,2025-01-22T17:34:27.586887
-732.42,824.22,1966.8,35.2,169.63,56.63,2025-01-22T17:34:27.997397,1891.6,-47.85,1071.78,-43.37,-121.34,19.34,2025-01-22T17:34:27.997397
-419.43,67.87,931.64,9.31,3.89,8.45,2025-01-22T17:34:28.408568,982.42,110.35,86.91,13.49,-44.48,3.75,2025-01-22T17:34:28.408568
425.78,-314.45,378.91,85.96,-187.74,-39.66,2025-01-22T17:34:28.824116,886.72,261.23,150.88,-44.98,139.7,-63.87,2025-01-22T17:34:28.824116
389.16,723.14,260.25,61.69,225.22,18.25,2025-01-22T17:34:29.217680,31.25,208.5,1093.26,-41.45,250.13,-95.95,2025-01-22T17:34:29.217680
-415.53,-67.38,944.82,11.96,4.18,8.14,2025-01-22T17:34:29.629127,941.41,181.15,142.58,21.82,-62.91,-1.86,2025-01-22T17:34:29.629127
779.3,-637.21,611.82,-26.36,250.13,85.34,2025-01-22T17:34:30.050197,888.67,-58.11,-403.32,40.49,-44.61,-5.01,2025-01-22T17:34:30.050197
-1989.26,51.27,-659.67,75.79,112.12,27.23,2025-01-22T17:34:30.477379,697.27,535.64,-1088.87,53.24,-177.12,-14.38,2025-01-22T17:34:30.477379
-458.01,-24.9,937.99,10.06,6.82,7.58,2025-01-22T17:34:30.891294,958.98,179.69,181.15,22.0,-59.72,4.24,2025-01-22T17:34:30.891294
-1760.25,-316.41,1870.61,-25.14,250.13,80.59,2025-01-22T17:34:31.301098,1169.92,-63.48,118.65,95.25,-215.47,34.08,2025-01-22T17:34:31.301098
-1837.4,317.38,-227.05,-35.63,-113.96,-91.52,2025-01-22T17:34:31.724094,953.12,74.71,-595.21,-26.76,82.89,-28.25,2025-01-22T17:34:31.724094
-379.39,-45.9,967.77,15.93,15.0,1.09,2025-01-22T17:34:32.139940,888.18,175.78,350.1,18.12,-73.51,0.65,2025-01-22T17:34:32.139940
-1288.57,-361.33,1490.72,-66.4,250.13,66.92,2025-01-22T17:34:32.574027,1999.94,-182.13,516.11,19.86,-250.14,55.99,2025-01-22T17:34:32.574027
-1676.27,373.54,629.39,-100.3,-134.32,-163.28,2025-01-22T17:34:32.983751,1564.94,-139.16,-712.4,-52.91,147.21,-8.79,2025-01-22T17:34:32.983751
-380.37,-9.28,951.17,6.85,14.1,3.53,2025-01-22T17:34:33.392646,973.14,168.95,299.32,27.65,-92.6,-1.79,2025-01-22T17:34:33.392646
-142.09,-456.54,1173.83,-59.31,209.02,17.85,2025-01-22T17:34:33.806734,1650.88,2.44,174.8,38.27,-235.68,74.68,2025-01-22T17:34:33.806734
-1764.65,-834.47,1215.33,-118.16,-250.14,15.29,2025-01-22T17:34:34.244552,1999.94,484.38,98.63,49.63,250.13,-57.08,2025-01-22T17:34:34.244552
-410.16,-18.55,909.67,12.8,12.16,9.15,2025-01-22T17:34:34.672338,903.32,98.63,422.36,26.71,-85.73,-5.07,2025-01-22T17:34:34.672338
-378.91,-245.12,1179.2,-41.98,246.29,30.87,2025-01-22T17:34:35.070115,1630.86,225.59,191.41,-8.24,-199.73,39.47,2025-01-22T17:34:35.070115
-1639.16,-629.88,1239.26,-68.35,-250.14,-51.73,2025-01-22T17:34:35.470432,1999.94,486.82,120.61,-29.12,250.13,-40.05,2025-01-22T17:34:35.470432
-814.94,-407.71,103.52,8.42,-3.6,-93.26,2025-01-22T17:34:35.889706,786.13,-268.55,394.04,15.69,-54.37,-5.91,2025-01-22T17:34:35.889706
-249.02,9.77,1119.14,-29.05,115.24,-6.93,2025-01-22T17:34:36.290303,1283.2,95.7,360.84,26.32,-177.04,66.44,2025-01-22T17:34:36.290303
-1018.55,109.86,1555.18,-14.23,-250.14,41.01,2025-01-22T17:34:36.709601,1461.91,-124.02,-167.48,-49.35,250.13,-24.45,2025-01-22T17:34:36.709601
-402.83,44.92,963.38,29.24,15.56,7.54,2025-01-22T17:34:37.116869,870.61,38.57,474.61,-15.04,-80.91,-10.25,2025-01-22T17:34:37.116869
-338.38,83.01,1038.09,5.01,44.51,6.94,2025-01-22T17:34:37.515526,1227.54,83.5,266.11,17.73,-128.38,27.49,2025-01-22T17:34:37.515526
-291.5,269.53,938.48,-7.24,-250.14,-3.4,2025-01-22T17:34:37.956971,957.52,-273.44,-340.33,-69.24,250.13,-42.85,2025-01-22T17:34:37.956971
-423.34,85.94,1167.97,47.4,25.64,10.98,2025-01-22T17:34:38.361953,1007.81,41.02,461.91,23.38,-83.34,-15.24,2025-01-22T17:34:38.361953
-363.77,38.57,941.89,8.73,25.14,7.31,2025-01-22T17:34:38.773288,1066.41,142.58,253.91,15.36,-85.31,16.44,2025-01-22T17:34:38.773288
-357.42,-19.04,924.32,-0.53,-250.14,-53.97,2025-01-22T17:34:39.191828,669.43,-155.76,-470.21,-46.09,250.13,-12.52,2025-01-22T17:34:39.191828
-501.95,-390.14,932.62,57.37,102.15,40.09,2025-01-22T17:34:39.600978,1058.11,665.53,401.37,1.41,-65.85,-68.16,2025-01-22T17:34:39.600978
-389.65,-97.17,960.94,12.34,5.57,14.57,2025-01-22T17:34:40.008964,914.06,222.66,302.25,24.6,-76.38,13.55,2025-01-22T17:34:40.008964
-393.07,-178.22,957.52,5.11,-238.26,-68.24,2025-01-22T17:34:40.411224,526.86,-188.96,-147.95,-75.73,193.48,7.71,2025-01-22T17:34:40.411224
-1097.17,-944.82,1553.71,25.53,115.23,41.6,2025-01-22T17:34:40.810084,1221.19,454.1,286.62,20.36,-112.18,-31.56,2025-01-22T17:34:40.810084
-445.31,-28.32,936.04,7.04,10.58,3.3,2025-01-22T17:34:41.229005,992.68,187.01,146.48,14.55,-46.97,8.09,2025-01-22T17:34:41.229005
381.84,-592.77,677.25,98.19,-224.79,-62.75,2025-01-22T17:34:41.643556,443.36,-50.78,-593.75,-58.04,68.64,7.56,2025-01-22T17:34:41.643556
-989.75,1065.92,1117.19,-56.82,233.24,-15.34,2025-01-22T17:34:42.070339,861.33,-1192.87,465.33,-130.53,106.79,-19.95,2025-01-22T17:34:42.070339
-436.52,47.85,948.73,9.98,2.11,9.29,2025-01-22T17:34:42.488569,1032.23,115.72,102.54,11.08,-30.68,8.17,2025-01-22T17:34:42.488569
456.05,-387.7,142.09,95.47,-187.65,-80.82,2025-01-22T17:34:42.906130,609.86,178.71,300.78,-70.05,160.65,-59.4,2025-01-22T17:34:42.906130
-342.77,419.43,1124.02,-25.09,198.83,-16.02,2025-01-22T17:34:43.313140,1277.83,-722.17,976.56,-143.71,155.89,-76.37,2025-01-22T17:34:43.313140
-408.2,-31.25,942.38,8.3,7.44,5.92,2025-01-22T17:34:43.734330,988.28,184.08,185.06,15.93,-48.08,6.63,2025-01-22T17:34:43.734330
