imu0_acc_x,imu0_acc_y,imu0_acc_z,imu0_gyro_x,imu0_gyro_y,imu0_gyro_z,imu0_roll,imu0_pitch,imu0_yaw,imu0_timestamp,imu1_acc_x,imu1_acc_y,imu1_acc_z,imu1_gyro_x,imu1_gyro_y,imu1_gyro_z,imu1_roll,imu1_pitch,imu1_yaw,imu1_timestamp
349.37,-90.82,943.36,0.55,-0.43,-0.37,-21.26,-5.2,4.04,2025-03-12T10:22:44.453994,1002.69,-4.88,37.11,-0.3,-0.73,-0.91,91.43,-48.15,-49.23,2025-03-12T10:22:44.453994
351.56,-90.09,935.79,0.24,-0.55,-0.37,-21.25,-5.19,4.04,2025-03-12T10:22:44.523183,999.51,-29.3,35.64,1.77,-0.55,-1.16,0.0,0.0,0.0,2025-03-12T10:22:44.523183
343.99,-89.6,937.74,0.24,-0.85,0.18,-21.24,-5.18,4.06,2025-03-12T10:22:44.523732,994.63,-13.67,48.83,-0.18,-0.55,-0.79,nan,nan,nan,2025-03-12T10:22:44.523732
345.21,-89.36,930.18,0.12,-1.16,0.3,-21.23,-5.18,4.06,2025-03-12T10:22:44.560564,1001.95,-37.6,33.94,3.41,-1.46,-2.01,0.0,0.0,0.0,2025-03-12T10:22:44.560564
341.06,-87.4,937.26,0.79,-0.49,-0.37,-21.23,-5.17,4.06,2025-03-12T10:22:44.624552,985.6,-9.03,39.55,-1.77,-0.73,-2.26,-164.73,39.28,152.39,2025-03-12T10:22:44.624552
354.0,-99.85,932.62,0.49,-0.06,-0.49,-21.22,-5.16,4.07,2025-03-12T10:22:44.631140,1006.84,-23.19,38.82,5.18,-0.91,-3.78,-21.22,-5.16,4.07,2025-03-12T10:22:44.631140
352.29,-104.49,936.77,0.98,0.43,-0.91,-21.2,-5.15,4.08,2025-03-12T10:22:44.665820,996.58,-21.0,34.91,-5.06,-0.73,-4.94,0.0,0.0,0.0,2025-03-12T10:22:44.665820
341.31,-84.72,934.33,0.55,1.1,-1.1,-21.19,-5.14,4.11,2025-03-12T10:22:44.731070,1005.13,-6.59,32.47,0.18,-0.43,-6.04,0.0,0.0,0.0,2025-03-12T10:22:44.731070
344.97,-91.8,936.04,0.55,1.16,-1.22,-21.18,-5.14,4.13,2025-03-12T10:22:44.736474,999.51,6.84,44.19,-7.32,-0.24,-5.85,0.0,0.0,0.0,2025-03-12T10:22:44.736474
344.48,-113.53,941.89,-0.49,1.04,-0.85,-21.16,-5.12,4.15,2025-03-12T10:22:44.772223,1000.98,-0.98,57.62,-4.09,-2.13,-6.04,0.0,0.0,0.0,2025-03-12T10:22:44.772223
343.51,-90.09,934.57,1.46,1.77,-1.46,-21.15,-5.13,4.17,2025-03-12T10:22:44.851695,998.05,9.77,48.58,-2.8,-1.4,-4.51,0.0,0.0,0.0,2025-03-12T10:22:44.851695
340.33,-89.11,945.31,0.43,1.28,-1.04,-21.15,-5.13,4.2,2025-03-12T10:22:44.852498,997.8,21.48,38.82,-2.44,-2.44,-4.76,nan,nan,nan,2025-03-12T10:22:44.852498
335.45,-90.58,936.04,0.73,0.85,-1.1,-21.15,-5.14,4.2,2025-03-12T10:22:44.876536,988.53,9.03,52.25,-3.29,-3.23,-3.41,-1.8,-12.75,-164.11,2025-03-12T10:22:44.876536
343.26,-89.36,936.77,0.85,1.28,-1.22,-21.15,-5.13,4.21,2025-03-12T10:22:44.931017,997.8,21.24,26.61,1.34,-3.05,-3.05,nan,nan,nan,2025-03-12T10:22:44.931017
338.38,-89.36,935.55,1.1,1.16,-1.46,-21.16,-5.12,4.2,2025-03-12T10:22:44.943770,1001.46,25.39,24.41,-5.06,-4.15,-2.74,nan,nan,nan,2025-03-12T10:22:44.943770
345.46,-84.96,940.67,0.73,0.98,-1.34,-21.16,-5.11,4.21,2025-03-12T10:22:44.981228,1010.99,7.08,8.79,0.24,-2.38,-2.32,0.0,0.0,0.0,2025-03-12T10:22:44.981228
343.99,-80.57,941.89,0.43,0.49,-1.28,-21.17,-5.11,4.2,2025-03-12T10:22:45.038439,997.07,22.71,13.18,-5.61,-1.77,-2.13,0.0,0.0,0.0,2025-03-12T10:22:45.038439
339.36,-79.59,934.33,-0.12,0.18,-0.49,-21.17,-5.11,4.2,2025-03-12T10:22:45.051142,999.76,-1.22,34.67,-3.41,-1.4,-1.34,0.0,0.0,0.0,2025-03-12T10:22:45.051142
343.75,-79.35,940.19,-0.12,0.12,-0.85,-21.17,-5.1,4.2,2025-03-12T10:22:45.088313,993.65,31.49,29.3,-4.63,-1.65,-1.34,0.0,0.0,0.0,2025-03-12T10:22:45.088313
341.8,-76.66,941.89,0.49,0.3,-0.79,-21.16,-5.1,4.21,2025-03-12T10:22:45.135682,1003.42,12.45,34.91,-2.44,-1.83,-0.3,0.0,0.0,0.0,2025-03-12T10:22:45.135682
336.18,-82.52,946.04,-0.18,0.18,-0.67,-21.15,-5.07,4.21,2025-03-12T10:22:45.157965,996.58,30.03,35.16,-2.13,-2.32,-0.61,nan,nan,nan,2025-03-12T10:22:45.157965
339.6,-87.16,935.79,-0.49,-0.12,-0.43,-21.15,-5.04,4.22,2025-03-12T10:22:45.191103,1002.93,4.39,22.22,-4.15,-3.05,0.24,-21.15,-5.04,4.22,2025-03-12T10:22:45.191103
350.59,-60.06,945.07,-2.99,-0.61,0.55,-21.17,-5.02,4.21,2025-03-12T10:22:45.238635,1021.48,87.65,-12.45,-0.3,0.18,-1.77,nan,nan,nan,2025-03-12T10:22:45.238635
340.33,-85.94,940.92,-4.57,-0.85,1.1,-21.19,-5.02,4.2,2025-03-12T10:22:45.259780,1021.73,-4.15,12.21,-7.68,-0.55,-0.98,nan,nan,nan,2025-03-12T10:22:45.259780
345.7,-93.75,939.7,-3.9,-0.91,1.16,-21.22,-5.03,4.19,2025-03-12T10:22:45.338547,1002.44,11.47,5.37,-1.89,1.71,-1.28,0.0,0.0,0.0,2025-03-12T10:22:45.338547
347.41,-85.69,940.43,-1.83,-0.79,0.49,-21.25,-5.04,4.17,2025-03-12T10:22:45.341558,1003.91,0.24,43.7,-6.22,2.62,-0.24,0.0,0.0,0.0,2025-03-12T10:22:45.341558
342.04,-97.17,934.57,-0.73,-0.79,0.18,-21.26,-5.03,4.17,2025-03-12T10:22:45.368335,1000.73,6.59,54.93,-1.4,1.71,-1.16,nan,nan,nan,2025-03-12T10:22:45.368335
343.02,-99.37,941.16,-0.12,-0.06,-0.67,-21.27,-5.01,4.17,2025-03-12T10:22:45.441354,995.61,3.42,53.96,-0.91,-0.98,-0.73,0.0,0.0,0.0,2025-03-12T10:22:45.441354
336.43,-92.53,938.48,0.61,-0.37,-0.73,-21.27,-5.0,4.17,2025-03-12T10:22:45.443335,1010.74,41.99,16.36,0.49,-0.67,-0.98,nan,nan,nan,2025-03-12T10:22:45.443335
354.0,-71.04,944.34,-4.45,-1.28,1.83,-21.26,-5.0,4.18,2025-03-12T10:22:45.471356,986.33,29.54,4.88,-13.11,0.55,-2.44,0.0,0.0,0.0,2025-03-12T10:22:45.471356
341.55,-95.95,943.6,-5.73,-0.79,1.89,-21.27,-4.98,4.18,2025-03-12T10:22:45.546976,1012.7,26.61,50.29,-14.57,-0.18,-1.46,nan,nan,nan,2025-03-12T10:22:45.546976
339.11,-110.6,935.79,-5.85,-0.98,1.89,-21.28,-4.96,4.18,2025-03-12T10:22:45.547726,975.83,31.01,57.86,-9.02,-2.2,-1.04,0.0,0.0,0.0,2025-03-12T10:22:45.547726
