imu0_acc_x,imu0_acc_y,imu0_acc_z,imu0_gyro_x,imu0_gyro_y,imu0_gyro_z,imu0_roll,imu0_pitch,imu0_yaw,imu0_timestamp,imu1_acc_x,imu1_acc_y,imu1_acc_z,imu1_gyro_x,imu1_gyro_y,imu1_gyro_z,imu1_roll,imu1_pitch,imu1_yaw,imu1_timestamp
420.65,-143.55,933.35,-2.01,-1.1,3.35,-21.36,-4.52,32.61,2025-03-12T10:25:01.143003,899.66,-375.0,-185.3,-30.67,11.04,5.67,-97.04,-4.6,-4.93,2025-03-12T10:25:01.143003
358.64,-252.93,772.71,-12.44,-1.04,7.87,-21.91,-2.96,32.12,2025-03-12T10:25:01.143878,1105.47,-228.76,-68.36,26.77,7.87,3.11,-97.69,-4.45,-5.65,2025-03-12T10:25:01.143878
364.75,-169.68,900.88,-2.07,2.93,0.67,-21.76,-2.03,30.95,2025-03-12T10:25:01.171695,932.13,-156.98,-32.71,-19.02,11.46,0.79,-98.64,-4.76,-6.04,2025-03-12T10:25:01.171695
374.51,-259.52,970.7,14.02,-15.67,-0.3,-22.2,-1.3,28.61,2025-03-12T10:25:01.236464,989.99,-372.8,-99.85,2.8,12.8,1.22,-100.32,-5.52,-7.37,2025-03-12T10:25:01.236464
353.76,-183.11,905.76,-2.68,4.45,-0.98,-23.49,-0.31,26.0,2025-03-12T10:25:01.244484,954.83,-112.3,-122.56,9.94,6.59,-9.21,-102.39,-6.63,-9.41,2025-03-12T10:25:01.244484
391.36,-151.37,922.85,-3.29,4.15,-0.49,-25.19,0.42,23.88,2025-03-12T10:25:01.276655,994.14,-234.86,-103.76,-12.8,16.28,-0.49,-104.48,-7.94,-10.9,2025-03-12T10:25:01.276655
362.55,-164.79,915.77,-1.52,5.61,-0.61,-26.7,0.87,22.71,2025-03-12T10:25:01.335593,987.79,-136.72,-43.21,-19.57,10.67,-2.87,-106.41,-9.26,-11.68,2025-03-12T10:25:01.335593
371.34,-180.91,925.05,-1.16,3.96,-1.4,-27.71,1.32,22.32,2025-03-12T10:25:01.346473,999.27,-192.87,-41.99,-14.88,12.01,2.93,-108.23,-10.45,-12.03,2025-03-12T10:25:01.346473
362.79,-177.98,887.21,-3.11,3.48,0.06,-28.31,1.83,22.18,2025-03-12T10:25:01.382016,990.23,-162.84,-37.6,-1.52,4.15,2.99,-109.82,-11.45,-11.87,2025-03-12T10:25:01.382016
348.14,-179.93,922.85,-0.3,-1.28,0.37,-28.93,2.03,21.6,2025-03-12T10:25:01.440114,967.77,-166.75,0.0,-5.24,2.2,6.89,-111.21,-12.39,-11.75,2025-03-12T10:25:01.440114
