imu0_acc_x,imu0_acc_y,imu0_acc_z,imu0_gyro_x,imu0_gyro_y,imu0_gyro_z,imu0_roll,imu0_pitch,imu0_yaw,imu0_timestamp,imu1_acc_x,imu1_acc_y,imu1_acc_z,imu1_gyro_x,imu1_gyro_y,imu1_gyro_z,imu1_roll,imu1_pitch,imu1_yaw,imu1_timestamp,dorsiflexion_angle
366.94,-257.08,896.73,0.06,-0.43,-0.24,-23.54,-14.47,34.5,2025-03-12T10:13:30.326333,975.59,-129.88,-192.14,-0.98,0.12,-0.12,-103.68,-6.51,16.79,2025-03-12T10:13:30.326333,0.01347215469649328
366.46,-256.59,892.58,0.18,-0.43,-0.24,-23.54,-14.47,34.51,2025-03-12T10:13:30.338348,977.29,-124.76,-197.02,-0.06,-0.12,0.12,-103.68,-6.52,16.79,2025-03-12T10:13:30.338348,0.02934859746044415
365.97,-257.57,901.61,0.0,-0.37,-0.49,-23.54,-14.48,34.53,2025-03-12T10:13:30.373542,976.56,-135.99,-197.51,-0.55,-0.43,-0.49,-103.67,-6.52,16.83,2025-03-12T10:13:30.373542,0.047709837407297125
371.83,-255.37,894.78,0.0,-0.24,0.0,-23.54,-14.47,34.53,2025-03-12T10:13:30.438106,979.0,-135.5,-200.2,-1.04,0.12,-0.3,-103.66,-6.52,16.82,2025-03-12T10:13:30.438106,0.05930849940121341
365.97,-252.2,901.37,0.3,-0.06,-0.3,-23.54,-14.47,34.54,2025-03-12T10:13:30.442196,971.92,-124.27,-198.97,-0.37,0.0,-0.85,-103.65,-6.51,16.85,2025-03-12T10:13:30.442196,0.07031364299714171
370.36,-253.66,893.07,0.18,-0.06,-0.55,-23.53,-14.46,34.54,2025-03-12T10:13:30.477643,969.97,-134.28,-188.23,-0.55,0.37,-0.06,-103.64,-6.5,16.84,2025-03-12T10:13:30.477643,0.0776162132491773
371.09,-260.01,895.51,0.06,-0.61,-0.43,-23.53,-14.45,34.54,2025-03-12T10:13:30.544099,970.7,-131.84,-202.15,0.55,-0.06,-0.06,-103.64,-6.49,16.83,2025-03-12T10:13:30.544099,0.09468565084689948
370.61,-249.27,892.58,-0.06,-0.3,-0.18,-23.53,-14.44,34.55,2025-03-12T10:13:30.547421,977.54,-133.06,-196.78,-0.67,0.55,0.12,-103.64,-6.47,16.85,2025-03-12T10:13:30.547421,0.10261473201890792
363.28,-243.16,905.52,-0.18,-1.1,-0.18,-23.52,-14.43,34.56,2025-03-12T10:13:30.582786,969.48,-129.39,-189.7,0.79,0.67,0.0,-103.64,-6.45,16.87,2025-03-12T10:13:30.582786,0.1173537091308198
371.09,-254.88,896.24,0.0,-1.34,0.0,-23.51,-14.42,34.56,2025-03-12T10:13:30.635480,978.76,-140.38,-198.97,3.6,0.18,-0.3,-103.64,-6.43,16.9,2025-03-12T10:13:30.635480,0.139346166512585
372.07,-257.32,896.24,-0.06,-1.1,-0.06,-23.51,-14.4,34.61,2025-03-12T10:13:30.653990,968.51,-128.42,-194.09,-0.37,0.3,-0.55,-103.64,-6.41,16.91,2025-03-12T10:13:30.653990,0.15773530012653214
367.19,-255.62,894.29,0.3,-1.52,0.3,,,,2025-03-12T10:13:30.686220,974.61,-150.88,-178.71,2.26,-0.3,-1.4,-103.65,-6.39,16.93,2025-03-12T10:13:30.686220,0.18629223126610317
368.41,-255.62,894.53,0.37,-0.98,0.12,-23.49,-14.39,34.58,2025-03-12T10:13:30.738861,968.02,-138.43,-204.1,2.32,-0.49,-2.01,-103.65,-6.37,16.97,2025-03-12T10:13:30.738861,0.21135542245877986
370.12,-252.69,895.02,0.91,-0.06,-0.73,-23.49,-14.38,34.58,2025-03-12T10:13:30.756548,971.92,-137.94,-204.35,-2.2,0.49,-1.95,-103.67,-6.35,16.99,2025-03-12T10:13:30.756548,0.21744780886720977
366.21,-253.42,887.7,1.4,-0.06,-0.91,-23.49,-14.37,34.59,2025-03-12T10:13:30.791319,968.99,-138.18,-201.66,-2.62,0.43,-2.8,-103.69,-6.34,16.97,2025-03-12T10:13:30.791319,0.22412567245627907
369.38,-252.2,897.46,1.16,0.61,-0.85,-23.49,-14.36,34.59,2025-03-12T10:13:30.843913,968.51,-122.07,-198.0,-1.71,0.85,-2.5,-103.69,-6.34,16.98,2025-03-12T10:13:30.843913,0.2199432956099911
369.63,-239.75,897.71,1.28,0.3,-0.67,-23.49,-14.35,34.6,2025-03-12T10:13:30.860536,982.67,-127.2,-205.81,-2.5,1.71,-2.87,-103.7,-6.32,17.01,2025-03-12T10:13:30.860536,0.21034416876978435
366.46,-245.12,883.54,0.67,0.37,-0.49,-23.47,-14.35,34.61,2025-03-12T10:13:30.896177,976.81,-128.17,-211.67,-2.93,2.56,-3.23,-103.7,-6.32,16.98,2025-03-12T10:13:30.896177,0.19151558274019728
370.12,-239.5,902.83,0.43,1.04,-0.91,-23.48,-14.35,34.62,2025-03-12T10:13:30.942701,972.41,-113.28,-204.59,-4.51,3.48,-3.84,-103.7,-6.32,17.0,2025-03-12T10:13:30.942701,0.15687689284143363
365.23,-247.8,894.29,-0.12,0.73,-0.85,-23.48,-14.34,34.62,2025-03-12T10:13:30.965419,974.61,-124.76,-199.46,-5.37,4.76,-3.54,-103.7,-6.32,17.02,2025-03-12T10:13:30.965419,0.11248664812786191
364.5,-254.64,905.03,0.3,1.34,-0.73,-23.47,-14.34,34.62,2025-03-12T10:13:31.088909,982.18,-107.42,-212.89,-4.94,5.91,-3.17,-103.69,-6.31,17.07,2025-03-12T10:13:31.088909,0.050483908397890145
362.79,-256.59,895.51,-0.61,1.77,0.06,-23.47,-14.35,34.63,2025-03-12T10:13:31.090592,991.21,-94.73,-204.35,-6.71,7.13,-2.8,-103.67,-6.33,17.05,2025-03-12T10:13:31.090592,-0.028013293923624033
362.79,-238.53,903.81,-1.65,1.28,0.85,-23.47,-14.36,34.63,2025-03-12T10:13:31.090792,963.13,-90.58,-180.42,-7.87,9.51,-1.95,-103.67,-6.34,17.05,2025-03-12T10:13:31.090792,-0.12531387291573404
353.03,-259.77,896.48,-0.73,0.61,1.28,-23.47,-14.37,34.64,2025-03-12T10:13:31.260275,997.56,-128.91,-106.69,-1.83,6.46,-1.4,-103.65,-6.35,17.09,2025-03-12T10:13:31.260275,-0.1856333616397518
355.22,-250.98,901.37,-1.83,-1.16,1.65,,,,2025-03-12T10:13:31.261872,974.37,-96.92,-99.61,6.59,2.56,-3.84,-103.64,-6.37,17.07,2025-03-12T10:13:31.261872,-0.18902416112670598
362.79,-264.65,894.78,-0.91,-0.67,0.43,-23.46,-14.38,34.65,2025-03-12T10:13:31.262824,983.4,-123.29,-107.67,5.98,-0.98,-2.8,-103.62,-6.37,17.11,2025-03-12T10:13:31.262824,-0.16207025124867483
364.99,-261.72,897.71,-0.24,-0.37,0.0,-23.47,-14.39,34.66,2025-03-12T10:13:31.356911,986.33,-120.85,-140.62,7.62,-4.88,-3.9,-103.62,-6.4,17.09,2025-03-12T10:13:31.356911,-0.09906888432513661
364.5,-252.69,891.36,0.98,0.18,-1.4,-23.48,-14.39,34.67,2025-03-12T10:13:31.358607,972.17,-93.26,-183.35,7.87,-4.7,-3.9,-103.61,-6.4,17.11,2025-03-12T10:13:31.358607,-0.043332376102593245
364.5,-236.33,903.56,-1.28,0.06,-0.55,-23.48,-14.4,34.67,2025-03-12T10:13:31.359278,985.84,-88.13,-211.91,-4.57,-2.68,-2.13,-103.59,-6.4,17.12,2025-03-12T10:13:31.359278,-0.006559864578722097
370.12,-261.23,902.83,-2.62,-2.13,0.37,-23.48,-14.4,34.67,2025-03-12T10:13:31.359753,974.37,-112.55,-191.89,-0.91,-0.49,-2.99,-103.58,-6.4,17.15,2025-03-12T10:13:31.359753,0.030094122040390248
369.87,-260.99,894.78,-0.43,1.22,-0.79,-23.48,-14.4,34.68,2025-03-12T10:13:31.360096,996.83,-107.91,-177.98,-1.83,0.73,-2.62,-103.58,-6.4,17.14,2025-03-12T10:13:31.360096,0.02107242204198692
361.33,-244.14,906.25,-0.49,0.06,-0.73,-23.48,-14.4,34.68,2025-03-12T10:13:31.383962,1006.84,-93.75,-179.93,-5.49,0.61,-2.13,-103.57,-6.4,17.16,2025-03-12T10:13:31.383962,0.02492453959307661
361.08,-254.64,893.55,-2.32,-0.85,-0.43,-23.48,-14.4,34.68,2025-03-12T10:13:31.496417,961.43,-90.82,-184.08,-5.55,3.17,-2.99,-103.56,-6.39,17.19,2025-03-12T10:13:31.496417,0.01226869047216056
367.19,-265.38,892.82,0.18,1.46,-0.67,-23.49,-14.39,34.68,2025-03-12T10:13:31.496639,992.19,-97.9,-161.62,-4.15,2.8,-1.22,-103.55,-6.4,17.19,2025-03-12T10:13:31.496639,-0.019895600837328803
368.41,-254.39,910.4,-0.55,0.73,-0.79,-23.49,-14.39,34.69,2025-03-12T10:13:31.496721,1008.06,-67.63,-222.66,-2.5,2.74,-2.13,-103.54,-6.39,17.21,2025-03-12T10:13:31.496721,-0.044003402293424726
360.6,-245.85,909.67,-2.56,-0.67,0.61,-23.48,-14.39,34.69,2025-03-12T10:13:31.593247,945.07,-81.05,-136.47,-13.35,7.13,-0.55,-103.53,-6.38,17.23,2025-03-12T10:13:31.593247,-0.09813189977069622
353.76,-281.25,899.9,-1.1,0.73,0.49,-23.47,-14.39,34.69,2025-03-12T10:13:31.594232,1003.17,-125.73,-151.37,5.49,5.18,-1.65,-103.5,-6.37,17.25,2025-03-12T10:13:31.594232,-0.1469351833230203
371.34,-262.21,889.4,-1.22,-0.37,-0.55,,,,2025-03-12T10:13:31.594700,984.62,-42.24,-158.69,-6.34,4.82,-1.46,-103.48,-6.37,17.24,2025-03-12T10:13:31.594700,-0.18087684286221112
