imu0_acc_x,imu0_acc_y,imu0_acc_z,imu0_gyro_x,imu0_gyro_y,imu0_gyro_z,imu0_roll,imu0_pitch,imu0_yaw,imu0_timestamp,imu1_acc_x,imu1_acc_y,imu1_acc_z,imu1_gyro_x,imu1_gyro_y,imu1_gyro_z,imu1_roll,imu1_pitch,imu1_yaw,imu1_timestamp,dorsiflexion_angle
679.69,-290.04,807.62,-7.93,24.21,11.16,0.0,0.0,0.0,2025-03-12T10:20:54.257831,915.04,-91.55,-277.34,10.43,58.41,7.26,,,,2025-03-12T10:20:54.257831,-3.8673252013312736
578.37,-206.54,612.06,-0.98,-2.26,12.62,0.0,0.0,0.0,2025-03-12T10:20:54.274125,921.88,-68.36,-194.58,15.55,38.6,9.7,0.0,0.0,0.0,2025-03-12T10:20:54.274125,-4.193398617755588
583.5,-233.15,737.55,-10.79,-19.82,21.83,0.0,0.0,0.0,2025-03-12T10:20:54.351293,957.52,-127.44,-250.98,30.43,27.99,10.67,0.0,0.0,0.0,2025-03-12T10:20:54.351293,-4.244418691278613
637.7,-50.05,640.14,-5.24,-0.49,7.87,-84.64,-55.72,-62.79,2025-03-12T10:20:54.355789,858.4,8.54,-191.16,6.16,11.71,14.33,0.0,0.0,0.0,2025-03-12T10:20:54.355789,-4.333499967031993
577.88,-105.22,470.95,-13.84,-10.61,-11.1,,,,2025-03-12T10:20:54.386720,931.64,61.28,-189.94,5.12,-0.18,22.01,0.0,0.0,0.0,2025-03-12T10:20:54.386720,-4.211046498191647
878.66,-223.88,616.94,-35.3,-54.27,-6.59,,,,2025-03-12T10:20:54.456619,768.07,-18.07,-244.14,8.23,-26.77,15.79,-168.83,58.94,-124.62,2025-03-12T10:20:54.456619,-3.4008647910706538
793.46,-43.7,1122.31,57.07,-35.0,-14.39,0.0,0.0,0.0,2025-03-12T10:20:54.459330,1052.73,-211.67,-73.49,42.38,-70.43,17.38,0.0,0.0,0.0,2025-03-12T10:20:54.459330,-2.3639833706078495
851.56,-297.12,866.7,42.26,2.87,-12.13,,,,2025-03-12T10:20:54.496526,1546.63,-235.84,-273.93,44.63,-73.84,30.73,0.0,0.0,0.0,2025-03-12T10:20:54.496526,-1.6910038496906798
490.72,-342.77,854.25,-1.65,6.28,7.32,0.0,0.0,0.0,2025-03-12T10:20:54.563694,535.64,-313.23,-278.32,-17.13,-56.28,9.63,0.0,0.0,0.0,2025-03-12T10:20:54.563694,-1.2541911944492545
386.96,-274.41,894.04,3.23,13.29,-3.6,,,,2025-03-12T10:20:54.571187,1118.9,-26.37,-176.51,24.88,-47.26,22.26,,,,2025-03-12T10:20:54.571187,-0.9936307969177625
369.38,-226.81,903.56,2.26,5.98,-2.5,,,,2025-03-12T10:20:54.605290,900.88,-137.94,-197.27,-15.79,-23.78,20.06,0.0,0.0,0.0,2025-03-12T10:20:54.605290,-0.9133526472517923
376.71,-262.21,902.83,-4.7,1.52,-0.91,-75.68,56.55,66.75,2025-03-12T10:20:54.664244,1011.47,-195.31,-244.63,-3.05,-21.52,14.45,,,,2025-03-12T10:20:54.664244,-0.8353004789196126
355.47,-260.01,904.05,-4.57,3.9,-4.45,0.0,0.0,0.0,2025-03-12T10:20:54.676428,941.65,-196.04,-97.17,-31.59,-14.21,14.21,,,,2025-03-12T10:20:54.676428,-0.8679921167718634
328.12,-304.69,882.57,0.18,5.91,-5.85,0.0,0.0,0.0,2025-03-12T10:20:54.714403,992.19,-292.72,-78.37,-17.07,-20.73,9.33,0.0,0.0,0.0,2025-03-12T10:20:54.714403,-0.8569350051284594
345.7,-246.58,909.67,-2.93,2.13,-2.8,0.0,0.0,0.0,2025-03-12T10:20:54.767088,991.94,-296.63,-113.53,-12.2,-32.44,5.3,0.0,0.0,0.0,2025-03-12T10:20:54.767088,-0.6852637112279618
345.7,-279.79,896.24,-2.13,1.16,-5.18,0.0,0.0,0.0,2025-03-12T10:20:54.794326,957.03,-145.75,-187.5,-1.65,-33.84,3.72,,,,2025-03-12T10:20:54.794326,-0.4745388748882373
333.25,-260.5,921.14,-4.88,-4.88,-5.85,,,,2025-03-12T10:20:54.824343,1042.72,-184.33,-145.02,-17.99,-36.28,2.32,0.0,0.0,0.0,2025-03-12T10:20:54.824343,-0.1575335227252861
368.9,-259.52,930.42,-9.27,-16.52,-8.29,0.0,0.0,0.0,2025-03-12T10:20:54.866658,1031.74,-189.7,-320.31,-13.48,-41.52,0.0,0.0,0.0,0.0,2025-03-12T10:20:54.866658,0.3455189148595421
356.2,-275.15,942.38,-16.4,-42.5,-7.74,,,,2025-03-12T10:20:54.900797,1063.96,-132.81,-248.54,-24.57,-43.23,-0.18,0.0,0.0,0.0,2025-03-12T10:20:54.900797,1.1401930696631926
399.66,-268.31,919.19,-22.5,-61.1,-11.4,0.0,0.0,0.0,2025-03-12T10:20:54.969098,1059.33,-155.76,-421.63,-21.16,-37.5,-4.09,0.0,0.0,0.0,2025-03-12T10:20:54.969098,2.080445367604833
389.16,-276.37,863.28,-18.6,-76.46,-3.05,0.0,0.0,0.0,2025-03-12T10:20:54.980438,949.71,-141.85,-328.37,-10.67,-34.09,-11.71,0.0,0.0,0.0,2025-03-12T10:20:54.980438,3.1608563987690648
505.37,-258.3,789.31,-17.07,-83.84,6.46,0.0,0.0,0.0,2025-03-12T10:20:55.019660,721.92,-67.38,-433.11,9.7,-31.65,-18.78,0.0,0.0,0.0,2025-03-12T10:20:55.019660,4.313196514576037
673.34,-222.41,690.67,-19.88,-41.71,27.44,0.0,0.0,0.0,2025-03-12T10:20:55.074447,455.57,17.82,-279.05,-46.95,-30.79,-20.3,,,,2025-03-12T10:20:55.074447,5.055980357254991
493.16,-607.91,802.73,0.37,-33.41,-1.95,,,,2025-03-12T10:20:55.091691,1421.88,-533.94,-4.15,-58.05,-70.24,-13.78,-35.96,-26.08,113.69,2025-03-12T10:20:55.091691,6.135582631166238
441.65,-559.33,888.92,159.45,59.82,-91.46,,,,2025-03-12T10:20:55.128362,1199.95,-389.89,-143.55,-21.77,-65.73,-11.22,0.0,0.0,0.0,2025-03-12T10:20:55.128362,6.257902234413937
447.51,-621.58,975.83,8.41,-31.46,-101.28,-62.34,-25.98,-20.97,2025-03-12T10:20:55.173491,1161.87,18.8,-273.93,-33.48,-65.85,10.0,,,,2025-03-12T10:20:55.173491,7.2922823626748166
147.46,-784.42,1348.14,31.65,11.22,-51.46,0.0,0.0,0.0,2025-03-12T10:20:55.204616,1059.33,-184.57,-252.69,-64.94,-47.44,12.99,0.0,0.0,0.0,2025-03-12T10:20:55.204616,7.732162523275802
-168.21,-113.53,983.89,9.7,22.93,-32.32,,,,2025-03-12T10:20:55.281608,832.28,30.76,-309.57,5.3,-2.2,6.77,82.01,41.83,85.7,2025-03-12T10:20:55.281608,7.610353313593263
8.79,-137.94,943.6,11.89,55.79,-23.6,0.0,0.0,0.0,2025-03-12T10:20:55.282503,829.83,161.62,-250.73,-26.77,54.45,2.93,,,,2025-03-12T10:20:55.282503,6.5856901205285325
221.68,-244.14,950.44,2.26,63.23,-1.71,0.0,0.0,0.0,2025-03-12T10:20:55.311052,913.33,-20.51,-235.11,8.05,63.72,-5.18,0.0,0.0,0.0,2025-03-12T10:20:55.311052,5.362898891480083
