time,ankle_angle_l_moment,ankle_angle_r_moment,ground_force_right_vx,ground_force_right_vy,ground_force_right_vz,ground_force_right_px,ground_force_right_py,ground_force_right_pz,ground_torque_right_x,ground_torque_right_y,ground_torque_right_z,ground_force_left_vx,ground_force_left_vy,ground_force_left_vz,ground_force_left_px,ground_force_left_py,ground_force_left_pz,ground_torque_left_x,ground_torque_left_y,ground_torque_left_z,imu0_acc_x,imu0_acc_y,imu0_acc_z,imu0_gyro_x,imu0_gyro_y,imu0_gyro_z,imu0_roll,imu0_pitch,imu0_yaw,imu1_acc_x,imu1_acc_y,imu1_acc_z,imu1_gyro_x,imu1_gyro_y,imu1_gyro_z,imu1_roll,imu1_pitch,imu1_yaw
10.0,1.61368136,-27.62383831,8.54446849,616.67368288,-33.44546916,-1.41189767,0.0,0.65049094,0.0,-1.21099551,0.0,-0.06247478,0.02675234,0.01282347,-1.25653316,0.0,0.30418494,0.0,4.04e-06,0.0,1091.986463276663,-512.4051073445426,1323.122610169388,149.95968361578215,3.9,21.700960451970996,35.3124519773873,-10.69,-14.290395480219178,474.6883615820408,5791.033073444805,482.12368361566865,-46.390327683606145,104.64642937849743,-105.08978531070176,-82.52126553672994,-6.05063276836497,-11.78674576271517
10.01,1.58970192,-29.46609846,11.20312732,619.43729831,-34.93674053,-1.40988053,0.0,0.65198378,0.0,-1.65117002,0.0,-0.03357242,0.01447376,0.00619857,-1.35235731,0.0,0.30535514,0.0,1.131e-05,0.0,846.4497401128946,-385.5124519773492,1179.7327796609572,97.64329943500691,3.9,12.661412429374838,15.764429378523108,-10.69,-4.685875706210762,643.0499435028939,3642.1065197731346,269.8072994349415,-32.71801129942945,57.07580790958514,-58.875096045178886,-91.78680225989092,-10.683401129945462,-16.532508474578172
10.02,1.51535853,-28.52804164,17.23220372,608.91918196,-40.91397799,-1.41149466,0.0,0.65234063,0.0,-1.62024759,0.0,-0.21403657,0.09293531,0.03293489,-1.36886683,0.0,0.303821,0.0,-9e-08,0.0,600.9130169491262,-258.61979661015573,1036.3429491525264,45.32691525423165,3.9,3.621864406778685,-3.7835932203410856,-10.69,4.91864406779765,811.4115254237472,1493.1799661014632,57.49091525421433,-19.045694915252763,9.505186440672851,-12.660406779656036,-101.05233898305191,-15.316169491525955,-21.278271186441174
10.03,1.42416317,-27.52770114,22.29767989,603.62421856,-43.91933333,-1.41351937,0.0,0.65243369,0.0,-1.42157873,0.0,-0.9455942,0.41558579,0.11737854,-1.34459099,0.0,0.3003943,0.0,-5e-08,0.0,389.13289171165343,-150.00624198158002,911.0120107970796,0.1349152111780037,3.7345379485552783,-4.24563798031117,-20.853218164496518,-10.651816449666603,13.309578913940857,954.1311298825058,-363.03616957764984,-131.4111336932305,-6.702765322325093,-31.466473801207,27.343513496348088,-109.14873039060011,-19.354607176881522,-25.37048396316293
10.04,1.42139795,-26.80467536,27.35359341,604.79697116,-46.80509824,-1.41546119,0.0,0.65230886,0.0,-1.08211576,0.0,-2.44672809,1.09507439,0.23425207,-1.31988304,0.0,0.29741679,0.0,-7e-08,0.0,396.26531470307964,-159.93320292156136,902.7935287392831,1.1447596062240921,2.496049539536491,-4.512389329945987,-21.8503601143219,-10.366011432200729,13.830379167989785,930.5617427754867,-321.016480787556,-168.47051762463886,-2.9809488726583773,-29.643672912035758,27.07041092410292,-109.6631794220387,-19.538792632581753,-25.224405843124817
10.05,1.47227245,-26.34623586,32.03303733,612.23115261,-49.11968196,-1.41728369,0.0,0.65199598,0.0,-0.65362744,0.0,-4.22400658,1.93495212,0.30004331,-1.29510864,0.0,0.29491999,0.0,-5e-08,0.0,398.9302264440856,-163.82949841137554,899.5791543830408,1.709397364446082,2.0657572008958964,-4.696979009323412,-22.466183915828974,-10.175933121516737,14.094217537371744,920.4539327569145,-308.35575954476883,-186.3920150789106,-1.9486353455910033,-28.64925542997028,26.97256901401115,-109.98173212146467,-19.644753112141263,-25.14471131308922
10.06,1.53112871,-26.12027508,36.2981819,625.55134541,-49.46869764,-1.41901693,0.0,0.65154359,0.0,-0.12414806,0.0,-5.53685694,2.60732138,0.27277064,-1.27065242,0.0,0.29290668,0.0,-2e-08,0.0,398.0721088337934,-162.97007864992963,900.3109633314235,1.9229501536538491,2.272799234335134,-4.816776915464354,-22.7813044950258,-10.061343819990618,14.15541864159592,920.9617717068597,-318.8471913901772,-189.2215895359135,-3.037233710089133,-28.30809182769934,27.012935699776033,-110.14580316683161,-19.689026251367263,-25.117366138861396
10.07,1.55774859,-26.06230549,40.27771075,641.99523257,-49.34567951,-1.42057667,0.0,0.650992,0.0,0.43630864,0.0,-6.13866738,2.97782078,0.18804722,-1.24680562,0.0,0.29134304,0.0,1e-08,0.0,397.2139912235012,-162.11065888848375,901.0427722798063,2.136502942861616,2.4798412677743715,-4.936574821605297,-23.09642507422263,-9.946754518464498,14.216619745820097,921.469610656805,-329.3386232355856,-192.0511639929164,-4.1258320745872625,-27.966928225428394,27.053302385540917,-110.30987421219857,-19.733299390593263,-25.090020964633574
10.08,1.56093728,-26.1405116,43.99589976,660.04704797,-48.47619718,-1.42193899,0.0,0.65038452,0.0,1.02710383,0.0,-6.15959148,3.0819576,0.0872365,-1.22375849,0.0,0.29018661,0.0,3e-08,0.0,396.35587361320904,-161.25123912703785,901.7745812281889,2.350055732069383,2.686883301213609,-5.056372727746239,-23.411545653419456,-9.83216521693838,14.277820850044275,921.9774496067504,-339.83005508099404,-194.88073844991933,-5.214430439085392,-27.625764623157448,27.093669071305797,-110.4739452575655,-19.777572529819263,-25.06267579040575
10.09,1.53311646,-26.35163619,47.49894219,677.30141288,-47.61743456,-1.42298884,0.0,0.6497551,0.0,1.61516226,0.0,-5.81158318,3.00052063,0.00110987,-1.20162148,0.0,0.28938562,0.0,3e-08,0.0,395.49775600291684,-160.39181936559197,902.5063901765717,2.56360852127715,2.893925334652847,-5.176170633887182,-23.72666623261628,-9.71757591541226,14.339021954268452,922.4852885566957,-350.32148692640243,-197.71031290692224,-6.303028803583521,-27.2846010208865,27.13403575707068,-110.63801630293244,-19.821845669045263,-25.035330616177927
